episode,winner,survivorScore,killerScore,rounds
199,Killer,2,0,100
200,Killer,0,2,100
201,Killer,1,1,100
202,Killer,1,1,100
203,Survivor,3,0,34
204,Killer,2,0,100
205,Killer,2,0,100
206,Killer,2,0,100
207,Killer,2,0,100
208,Killer,1,1,100
209,Survivor,3,0,59
210,Killer,2,0,100
211,Killer,1,1,100
212,Killer,2,0,100
213,Survivor,3,0,37
214,Killer,1,1,100
215,Killer,0,2,100
216,Survivor,3,0,70
217,Survivor,3,0,58
218,Survivor,3,0,68
219,Survivor,3,0,98
220,Killer,2,0,100
221,Survivor,3,0,56
222,Killer,2,0,100
223,Survivor,3,0,82
224,Killer,2,0,100
225,Killer,1,1,100
226,Killer,2,0,100
227,Survivor,3,0,41
228,Killer,1,1,100
229,Killer,1,1,100
230,Killer,2,0,100
231,Killer,2,0,100
232,Killer,2,0,100
233,Killer,2,1,56
234,Killer,2,0,100
235,Killer,2,0,100
236,Survivor,3,0,97
237,Survivor,3,0,63
238,Killer,0,2,100
239,Killer,2,0,100
240,Killer,2,0,100
241,Survivor,3,0,55
242,Killer,0,2,100
243,Survivor,3,0,78
244,Killer,2,0,100
245,Survivor,3,0,61
246,Killer,0,2,100
247,Killer,2,0,100
248,Survivor,3,0,84
249,Survivor,3,0,78
250,Killer,2,0,100
251,Survivor,3,0,48
252,Survivor,3,0,70
253,Killer,1,1,100
254,Killer,2,0,100
255,Killer,2,0,100
256,Killer,1,1,100
257,Killer,2,0,100
258,Killer,2,0,100
259,Survivor,3,0,71
260,Killer,2,0,100
261,Survivor,3,0,67
262,Killer,1,1,100
263,Killer,2,0,100
264,Killer,2,0,100
265,Survivor,3,0,52
266,Killer,2,0,100
267,Killer,2,0,100
268,Killer,1,1,100
269,Survivor,3,0,65
270,Killer,1,1,100
271,Killer,1,1,100
272,Killer,1,1,100
273,Killer,2,0,100
274,Survivor,3,0,42
275,Survivor,3,0,61
276,Killer,1,1,100
277,Survivor,3,0,45
278,Killer,2,0,100
279,Survivor,3,0,76
280,Killer,1,1,100
281,Killer,2,0,100
282,Killer,1,1,100
283,Killer,2,0,100
284,Killer,2,0,100
285,Survivor,3,0,74
286,Survivor,3,0,95
287,Killer,2,0,100
288,Killer,2,0,100
289,Survivor,3,0,59
290,Killer,2,0,100
291,Survivor,3,0,45
292,Survivor,3,0,40
293,Survivor,3,0,69
294,Killer,2,0,100
295,Survivor,3,0,88
296,Killer,2,0,100
297,Killer,2,0,100
298,Survivor,3,0,52
299,Survivor,3,0,73
