episode,winner,survivorScore,killerScore,rounds
0,Killer,3,0,51
1,Killer,2,0,101
2,Killer,2,0,101
3,Killer,2,1,22
4,Killer,1,1,101
5,Killer,2,1,62
6,Killer,1,1,101
7,Killer,2,0,101
8,Killer,3,0,47
9,Killer,1,1,101
10,Killer,2,0,101
11,Killer,1,1,101
12,Killer,1,0,101
13,Killer,3,0,94
14,Killer,2,1,94
15,Killer,1,1,101
16,Killer,1,1,101
17,Killer,3,0,44
18,Killer,1,1,101
19,Killer,0,2,101
20,Killer,3,0,78
21,Killer,2,0,101
22,Killer,3,0,58
23,Killer,1,0,101
24,Killer,3,0,63
25,Killer,2,1,88
26,Killer,1,0,101
27,Killer,1,0,101
28,Killer,1,1,101
29,Killer,2,0,101
30,Killer,1,1,101
31,Killer,2,0,101
32,Killer,3,0,52
33,Killer,2,0,101
34,Killer,1,0,101
35,Killer,2,0,101
36,Killer,3,0,71
37,Killer,1,0,101
38,Killer,2,1,71
39,Killer,0,1,101
40,Killer,1,0,101
41,Killer,2,1,49
42,Killer,1,1,101
43,Killer,0,2,101
44,Killer,2,1,90
45,Killer,2,0,101
46,Killer,3,0,62
47,Killer,2,0,101
48,Killer,2,0,101
49,Killer,2,0,101
50,Killer,2,0,101
51,Killer,1,0,101
52,Killer,1,1,101
53,Killer,0,2,101
54,Killer,3,0,97
55,Killer,1,2,85
56,Killer,2,0,101
57,Killer,2,0,101
58,Killer,1,1,101
59,Killer,1,0,101
60,Killer,1,2,75
61,Killer,2,0,101
62,Killer,2,0,101
63,Killer,2,0,101
64,Killer,2,0,101
65,Killer,0,2,101
66,Killer,1,2,92
67,Killer,0,1,101
68,Killer,3,0,67
69,Killer,2,0,101
70,Killer,2,0,101
71,Killer,2,0,101
72,Killer,2,0,101
73,Killer,3,0,55
74,Killer,1,1,101
75,Killer,2,0,101
76,Killer,3,0,73
77,Killer,0,0,101
78,Killer,3,0,41
79,Killer,2,0,101
80,Killer,0,3,58
81,Killer,2,0,101
82,Killer,2,1,92
83,Killer,1,1,101
84,Killer,1,1,101
85,Killer,3,0,65
86,Killer,2,0,101
87,Killer,3,0,65
88,Killer,2,0,101
89,Killer,3,0,50
90,Killer,1,2,81
91,Killer,0,2,101
92,Killer,2,1,89
93,Killer,1,1,101
94,Killer,2,0,101
95,Killer,1,1,101
96,Killer,2,0,101
97,Killer,2,1,75
98,Killer,1,1,101
99,Killer,1,1,101
100,Killer,1,1,101
101,Killer,1,1,101
102,Killer,3,0,67
103,Killer,2,0,101
104,Killer,1,1,101
105,Killer,1,1,101
106,Killer,2,0,101
107,Killer,0,1,101
108,Killer,2,0,101
109,Killer,3,0,77
110,Killer,0,1,101
111,Killer,2,0,101
112,Killer,3,0,41
113,Killer,2,0,101
114,Killer,1,1,101
115,Killer,1,1,101
116,Killer,2,0,101
117,Killer,3,0,49
118,Killer,2,0,101
119,Killer,2,0,101
120,Killer,3,0,34
121,Killer,1,0,101
122,Killer,1,1,101
123,Killer,0,1,101
124,Killer,2,0,101
125,Killer,1,0,101
126,Killer,3,0,48
127,Killer,1,0,101
128,Killer,2,1,86
129,Killer,1,1,101
130,Killer,2,0,101
131,Killer,1,1,101
132,Killer,2,1,86
133,Killer,1,1,101
134,Killer,1,1,101
135,Killer,1,1,101
