episode,winner,survivorScore,killerScore,rounds
136,Killer,3,0,54
137,Killer,1,1,101
138,Killer,1,1,101
139,Killer,1,1,101
140,Killer,2,1,63
141,Killer,1,1,101
142,Killer,1,0,101
143,Killer,3,0,36
144,Killer,3,0,38
145,Killer,1,1,101
146,Killer,0,1,101
147,Killer,3,0,88
148,Killer,3,0,58
149,Killer,2,0,101
150,Killer,1,1,101
151,Killer,1,1,101
152,Killer,3,0,95
153,Killer,2,0,101
154,Killer,2,0,101
155,Killer,1,2,72
156,Killer,1,1,101
157,Killer,2,0,101
158,Killer,1,1,101
159,Killer,3,0,78
160,Killer,3,0,66
161,Killer,0,1,101
162,Killer,1,1,101
163,Killer,1,0,101
164,Killer,2,1,64
165,Killer,0,0,101
166,Killer,1,2,90
167,Killer,2,1,27
168,Killer,1,1,101
169,Killer,0,1,101
170,Killer,2,0,101
171,Killer,2,1,71
172,Killer,2,0,101
173,Killer,0,2,101
174,Killer,3,0,65
175,Killer,1,1,101
176,Killer,3,0,77
177,Killer,2,0,101
178,Killer,2,0,101
179,Killer,2,0,101
180,Killer,0,1,101
181,Killer,2,0,101
182,Killer,3,0,53
183,Killer,3,0,82
184,Killer,3,0,78
185,Killer,3,0,92
186,Killer,2,0,101
187,Killer,3,0,67
188,Killer,1,1,101
189,Killer,2,0,101
190,Killer,3,0,88
191,Killer,0,3,81
192,Killer,3,0,49
193,Killer,0,1,101
194,Killer,0,2,101
195,Killer,1,1,101
196,Killer,2,1,71
197,Killer,2,0,101
198,Killer,2,1,64
199,Killer,2,0,101
200,Killer,2,1,45
201,Killer,1,0,101
202,Killer,0,3,59
203,Killer,0,0,101
204,Killer,2,1,52
205,Killer,2,0,101
206,Killer,3,0,57
207,Killer,1,0,101
208,Killer,1,0,101
209,Killer,2,0,101
210,Killer,2,0,101
211,Killer,2,0,101
212,Killer,3,0,76
213,Killer,1,0,101
214,Killer,2,0,101
215,Killer,1,0,101
216,Killer,3,0,61
217,Killer,0,2,101
218,Killer,2,1,79
219,Killer,2,0,101
220,Killer,3,0,68
221,Killer,2,1,97
222,Killer,2,0,101
223,Killer,3,0,56
224,Killer,3,0,85
225,Killer,2,0,101
226,Killer,1,1,101
227,Killer,1,1,101
228,Killer,3,0,50
229,Killer,2,1,43
230,Killer,1,1,101
231,Killer,1,1,101
232,Killer,2,0,101
233,Killer,1,1,101
234,Killer,3,0,79
235,Killer,0,1,101
236,Killer,2,1,49
237,Killer,2,0,101
238,Killer,2,0,101
239,Killer,2,0,101
240,Killer,1,0,101
241,Killer,2,0,101
242,Killer,3,0,73
243,Killer,3,0,60
244,Killer,2,1,59
245,Killer,2,0,101
246,Killer,2,0,101
247,Killer,3,0,60
248,Killer,2,0,101
249,Killer,1,1,101
250,Killer,3,0,87
251,Killer,2,0,101
252,Killer,3,0,47
253,Killer,3,0,51
254,Killer,3,0,72
255,Killer,1,1,101
256,Killer,2,0,101
257,Killer,2,0,101
258,Killer,3,0,83
259,Killer,1,1,101
260,Killer,3,0,48
261,Killer,2,0,101
262,Killer,2,0,101
263,Killer,2,0,101
264,Killer,2,0,101
265,Killer,1,1,101
266,Killer,3,0,70
267,Killer,2,1,58
268,Killer,1,2,80
269,Killer,2,1,43
270,Killer,3,0,35
271,Killer,2,0,101
272,Killer,1,0,101
273,Killer,1,0,101
274,Killer,3,0,70
275,Killer,2,0,101
276,Killer,3,0,44
277,Killer,2,0,101
278,Killer,2,0,101
279,Killer,2,1,58
280,Killer,1,1,101
281,Killer,2,0,101
282,Killer,3,0,87
283,Killer,0,2,101
284,Killer,2,1,43
285,Killer,2,1,77
286,Killer,3,0,98
287,Killer,2,0,101
288,Killer,1,2,78
289,Killer,1,1,101
290,Killer,1,1,101
291,Killer,1,1,101
292,Killer,0,2,101
293,Killer,2,0,101
294,Killer,3,0,39
295,Killer,2,0,101
296,Killer,0,2,101
297,Killer,2,1,90
298,Killer,2,0,101
299,Killer,1,1,101
