episode,winner,survivorScore,killerScore,rounds
0,Killer,2,0,100
1,Killer,2,0,100
2,Killer,2,0,100
3,Killer,2,0,100
4,Killer,0,2,100
5,Killer,2,0,100
6,Killer,2,0,100
7,Survivor,3,0,70
8,Killer,2,0,100
9,Survivor,3,0,68
10,Killer,2,0,100
11,Killer,1,1,100
12,Killer,2,1,83
13,Survivor,3,0,70
14,Survivor,3,0,76
15,Killer,2,0,100
16,Survivor,3,0,34
17,Survivor,3,0,63
18,Killer,2,0,100
19,Survivor,3,0,95
20,Killer,2,0,100
21,Killer,2,0,100
22,Killer,2,0,100
23,Survivor,3,0,67
24,Killer,2,0,100
25,Killer,2,0,100
26,Survivor,3,0,45
27,Survivor,3,0,94
28,Survivor,3,0,86
29,Killer,2,0,100
30,Survivor,3,0,56
31,Survivor,3,0,74
32,Survivor,3,0,59
33,Killer,2,0,100
34,Killer,2,0,100
35,Killer,1,1,100
36,Survivor,3,0,80
37,Survivor,3,0,68
38,Killer,1,1,100
39,Survivor,3,0,43
40,Killer,2,0,100
41,Survivor,3,0,68
42,Killer,1,1,100
43,Killer,1,1,100
44,Killer,1,1,100
45,Survivor,3,0,85
46,Killer,1,0,100
47,Survivor,3,0,79
48,Survivor,3,0,73
49,Killer,1,1,100
50,Killer,2,0,100
51,Killer,2,0,100
52,Survivor,3,0,90
53,Survivor,3,0,66
54,Killer,2,0,100
55,Survivor,3,0,78
56,Survivor,3,0,71
57,Survivor,3,0,93
58,Survivor,3,0,66
59,Killer,1,1,100
60,Survivor,3,0,78
61,Survivor,3,0,78
62,Survivor,3,0,84
63,Survivor,3,0,40
64,Killer,2,0,100
65,Survivor,3,0,72
66,Survivor,3,0,85
67,Killer,2,0,100
68,Killer,2,0,100
69,Killer,2,0,100
70,Survivor,3,0,70
71,Killer,2,0,100
72,Survivor,3,0,77
73,Survivor,3,0,40
74,Survivor,3,0,55
75,Survivor,3,0,89
76,Killer,0,3,87
77,Survivor,3,0,63
78,Killer,0,2,100
79,Survivor,3,0,83
80,Killer,2,0,100
81,Survivor,3,0,41
82,Killer,2,0,100
83,Killer,2,1,53
84,Killer,1,1,100
85,Killer,2,1,63
86,Killer,2,0,100
87,Survivor,3,0,42
88,Killer,2,0,100
89,Survivor,3,0,77
90,Survivor,3,0,97
91,Survivor,3,0,87
92,Survivor,3,0,74
93,Killer,1,1,100
94,Killer,1,1,100
95,Survivor,3,0,52
96,Killer,2,0,100
97,Survivor,3,0,46
98,Killer,1,1,100
99,Survivor,3,0,89
100,Survivor,3,0,73
101,Survivor,3,0,61
102,Killer,2,0,100
103,Survivor,3,0,87
104,Survivor,3,0,96
105,Survivor,3,0,45
106,Killer,2,0,100
107,Survivor,3,0,85
108,Survivor,3,0,81
109,Survivor,3,0,93
110,Survivor,3,0,92
111,Survivor,3,0,45
112,Killer,2,0,100
113,Survivor,3,0,88
114,Killer,2,0,100
115,Survivor,3,0,84
116,Killer,1,1,100
117,Killer,2,0,100
118,Killer,1,1,100
119,Survivor,3,0,56
120,Killer,2,0,100
121,Survivor,3,0,59
122,Killer,2,0,100
123,Survivor,3,0,83
124,Killer,2,0,100
125,Survivor,3,0,58
126,Killer,1,1,100
127,Survivor,3,0,91
128,Survivor,3,0,40
129,Survivor,3,0,50
130,Killer,2,0,100
131,Survivor,3,0,82
132,Survivor,3,0,93
133,Survivor,3,0,67
134,Killer,1,1,100
135,Survivor,3,0,57
136,Killer,2,0,100
137,Survivor,3,0,84
138,Killer,2,0,100
139,Survivor,3,0,82
140,Killer,0,2,100
141,Survivor,3,0,85
142,Killer,2,0,100
143,Killer,2,0,100
144,Survivor,3,0,90
145,Killer,2,0,100
146,Killer,2,1,93
147,Killer,1,1,100
148,Survivor,3,0,68
149,Killer,1,1,100
150,Killer,2,0,100
151,Killer,2,0,100
152,Survivor,3,0,40
153,Survivor,3,0,54
154,Killer,1,1,100
155,Survivor,3,0,84
156,Killer,2,0,100
157,Killer,2,0,100
158,Survivor,3,0,51
159,Killer,1,1,100
160,Killer,1,1,100
161,Survivor,3,0,89
162,Survivor,3,0,92
163,Killer,2,0,100
164,Killer,2,0,100
165,Killer,1,1,100
166,Survivor,3,0,41
167,Killer,2,0,100
168,Survivor,3,0,94
169,Killer,2,0,100
170,Killer,1,1,100
171,Killer,2,0,100
172,Killer,2,0,100
173,Killer,1,1,100
174,Killer,1,1,100
175,Killer,2,0,100
176,Survivor,3,0,38
177,Killer,2,0,100
178,Killer,0,2,100
179,Survivor,3,0,97
180,Killer,2,0,100
181,Killer,1,1,100
182,Killer,2,0,100
183,Killer,2,0,100
184,Survivor,3,0,63
185,Killer,1,1,100
186,Survivor,3,0,89
187,Killer,0,2,100
188,Killer,2,0,100
189,Survivor,3,0,51
190,Survivor,3,0,43
191,Survivor,3,0,69
192,Killer,2,0,100
193,Survivor,3,0,95
194,Killer,2,0,100
195,Killer,2,0,100
196,Killer,2,0,100
197,Killer,2,0,100
198,Survivor,3,0,74
